Voltage[V]	Capacitance [F]	Secondary Value	Chuck Temp [C]	Air Temp [C]	Rel. Humidity [%]
0.000000E+0	7.106610E-10	7.520390E+7	2.000000E+1	2.036000E+1	1.720000E+0
2.000000E-1	6.455840E-10	6.990820E+7	2.000000E+1	2.036000E+1	1.720000E+0
4.000000E-1	5.993870E-10	8.602080E+7	2.000000E+1	2.037000E+1	1.740000E+0
6.000000E-1	5.650370E-10	1.051790E+8	2.000000E+1	2.037000E+1	1.720000E+0
8.000000E-1	5.370880E-10	1.275340E+8	2.000000E+1	2.036000E+1	1.720000E+0
1.000000E+0	5.132830E-10	1.522630E+8	2.000000E+1	2.037000E+1	1.680000E+0
1.200000E+0	4.935690E-10	1.645470E+8	2.000000E+1	2.034000E+1	1.740000E+0
1.400000E+0	4.753670E-10	1.736210E+8	2.000000E+1	2.036000E+1	1.720000E+0
1.600000E+0	4.597830E-10	1.916570E+8	2.000000E+1	2.037000E+1	1.740000E+0
1.800000E+0	4.460930E-10	2.233730E+8	2.000000E+1	2.037000E+1	1.780000E+0
2.000000E+0	4.340210E-10	2.558480E+8	2.000000E+1	2.040000E+1	1.720000E+0
2.200000E+0	4.228810E-10	2.761750E+8	2.000000E+1	2.036000E+1	1.700000E+0
2.400000E+0	4.124900E-10	3.859390E+8	2.000000E+1	2.038000E+1	1.700000E+0
2.600000E+0	4.026790E-10	3.340950E+8	2.000000E+1	2.037000E+1	1.700000E+0
2.800000E+0	3.942400E-10	2.839460E+8	2.000000E+1	2.036000E+1	1.740000E+0
3.000000E+0	3.858430E-10	4.042810E+8	2.000000E+1	2.034000E+1	1.720000E+0
3.200000E+0	3.784440E-10	5.391760E+8	2.000000E+1	2.036000E+1	1.700000E+0
3.400000E+0	3.715000E-10	5.160820E+8	2.000000E+1	2.037000E+1	1.720000E+0
3.600000E+0	3.648930E-10	8.185960E+8	2.000000E+1	2.038000E+1	1.700000E+0
3.800000E+0	3.584090E-10	5.630160E+8	2.000000E+1	2.037000E+1	1.760000E+0
4.000000E+0	3.526800E-10	5.151320E+8	2.000000E+1	2.037000E+1	1.740000E+0
4.200000E+0	3.469590E-10	6.594470E+8	2.000000E+1	2.038000E+1	1.800000E+0
4.400000E+0	3.416490E-10	1.204010E+9	2.000000E+1	2.034000E+1	1.720000E+0
4.600000E+0	3.366040E-10	1.395900E+9	2.000000E+1	2.038000E+1	1.740000E+0
4.800000E+0	3.319700E-10	2.278170E+9	2.000000E+1	2.040000E+1	1.700000E+0
5.000000E+0	3.271940E-10	1.921680E+9	2.000000E+1	2.037000E+1	1.720000E+0
5.200000E+0	3.226930E-10	1.176730E+9	2.000000E+1	2.037000E+1	1.760000E+0
5.400000E+0	3.185920E-10	1.085950E+9	2.000000E+1	2.036000E+1	1.680000E+0
5.600000E+0	3.143500E-10	1.738590E+9	2.000000E+1	2.037000E+1	1.760000E+0
5.800000E+0	3.105350E-10	5.494710E+9	2.000000E+1	2.037000E+1	1.700000E+0
6.000000E+0	3.069760E-10	-1.018370E+10	2.000000E+1	2.037000E+1	1.740000E+0
6.200000E+0	3.031610E-10	-5.005800E+9	2.000000E+1	2.036000E+1	1.740000E+0
6.400000E+0	2.996290E-10	2.919430E+9	2.000000E+1	2.038000E+1	1.760000E+0
6.600000E+0	2.961320E-10	3.498260E+9	2.000000E+1	2.038000E+1	1.700000E+0
6.800000E+0	2.928770E-10	1.602100E+10	2.000000E+1	2.038000E+1	1.720000E+0
7.000000E+0	2.899040E-10	-1.530340E+10	2.000000E+1	2.038000E+1	1.680000E+0
7.200000E+0	2.869040E-10	-4.303830E+9	2.000000E+1	2.038000E+1	1.740000E+0
7.400000E+0	2.838490E-10	-1.722070E+9	2.000000E+1	2.038000E+1	1.700000E+0
7.600000E+0	2.808240E-10	-8.497810E+9	2.000000E+1	2.038000E+1	1.680000E+0
7.800000E+0	2.779660E-10	-9.808330E+9	2.000000E+1	2.040000E+1	1.760000E+0
8.000000E+0	2.750960E-10	-4.621410E+9	2.000000E+1	2.038000E+1	1.660000E+0
8.200000E+0	2.725960E-10	-2.377390E+9	2.000000E+1	2.038000E+1	1.640000E+0
8.400000E+0	2.698540E-10	-1.204050E+9	2.000000E+1	2.038000E+1	1.700000E+0
8.600000E+0	2.674210E-10	-1.138410E+9	2.000000E+1	2.040000E+1	1.680000E+0
8.800000E+0	2.648100E-10	-2.926580E+9	2.000000E+1	2.037000E+1	1.700000E+0
9.000000E+0	2.625710E-10	-9.504800E+9	2.000000E+1	2.040000E+1	1.720000E+0
9.200000E+0	2.600390E-10	-2.116650E+9	2.000000E+1	2.041000E+1	1.740000E+0
9.400000E+0	2.576600E-10	-1.462690E+9	2.000000E+1	2.040000E+1	1.700000E+0
9.600000E+0	2.554410E-10	-1.050760E+9	2.000000E+1	2.041000E+1	1.640000E+0
9.800000E+0	2.532290E-10	-9.652450E+8	2.000000E+1	2.041000E+1	1.680000E+0
1.000000E+1	2.509630E-10	-1.325890E+9	2.000000E+1	2.040000E+1	1.680000E+0
1.020000E+1	2.486990E-10	-1.364400E+9	2.000000E+1	2.040000E+1	1.660000E+0
1.040000E+1	2.465300E-10	-1.285120E+9	2.000000E+1	2.041000E+1	1.660000E+0
1.060000E+1	2.446060E-10	-1.302310E+9	2.000000E+1	2.044000E+1	1.760000E+0
1.080000E+1	2.425100E-10	-9.572940E+8	2.000000E+1	2.041000E+1	1.760000E+0
1.100000E+1	2.405720E-10	-8.607910E+8	2.000000E+1	2.041000E+1	1.740000E+0
1.120000E+1	2.385190E-10	-1.055420E+9	2.000000E+1	2.040000E+1	1.740000E+0
1.140000E+1	2.368010E-10	-2.532100E+9	2.000000E+1	2.040000E+1	1.740000E+0
1.160000E+1	2.346420E-10	-1.060210E+9	2.000000E+1	2.040000E+1	1.720000E+0
1.180000E+1	2.327850E-10	-8.130590E+8	2.000000E+1	2.043000E+1	1.660000E+0
1.200000E+1	2.309860E-10	-6.950470E+8	2.000000E+1	2.041000E+1	1.720000E+0
1.220000E+1	2.290790E-10	-6.824590E+8	2.000000E+1	2.041000E+1	1.720000E+0
1.240000E+1	2.272590E-10	-8.322390E+8	2.000000E+1	2.041000E+1	1.720000E+0
1.260000E+1	2.253340E-10	-9.269590E+8	2.000000E+1	2.041000E+1	1.720000E+0
1.280000E+1	2.236550E-10	-1.125260E+9	2.000000E+1	2.045000E+1	1.700000E+0
1.300000E+1	2.217210E-10	-9.066860E+8	2.000000E+1	2.041000E+1	1.700000E+0
1.320000E+1	2.202880E-10	-8.127330E+8	2.000000E+1	2.041000E+1	1.680000E+0
1.340000E+1	2.184380E-10	-7.260240E+8	2.000000E+1	2.044000E+1	1.700000E+0
1.360000E+1	2.167730E-10	-7.206090E+8	2.000000E+1	2.044000E+1	1.720000E+0
1.380000E+1	2.149560E-10	-8.096590E+8	2.000000E+1	2.043000E+1	1.680000E+0
1.400000E+1	2.132000E-10	-7.941900E+8	2.000000E+1	2.044000E+1	1.700000E+0
1.420000E+1	2.115180E-10	-8.681320E+8	2.000000E+1	2.041000E+1	1.720000E+0
